Price,Area,Bedrooms,Bathrooms,Property_Type,Furnishing,Latitude,Longitude,Locality,Nearest_Hospital_km,Nearest_School_km,Nearest_Metro_km,Nearest_Bus_Stop_km,Nearest_Park_km,Nearest_Mall_km,Crime_Rate,Population_Density,Literacy_Rate,Household_Count,AQI,PM2.5,PM10,Price_Per_Sqft,Price_Per_Sqft_Outlier,Price_Tier,Is_Well_Connected,Amenity_Access_Score,Price_vs_Locality_Median_Pct,Price_Outlier,price_per_sqft,price_per_bhk,price_per_bathroom,area_per_bhk,bhk_bathroom_ratio,log_price,log_area,distance_to_city_center,distance_to_major_transit,distance_to_railway,distance_to_metro_station,locality_median_price,locality_mean_price,locality_listing_count,locality_price_std,locality_median_area,area_x_distance,nearest_upcoming_infra_km,infra_completion_status,months_since_milestone,nearest_infra_name,predicted_price,fair_price_score,fair_price_label,price_difference,price_difference_pct,affordability_index,investment_score
4500000,750,1,1,Apartment,Unfurnished,19.14541054,73.0394516,Shil Phata,3.555521469227353,1.0909670803346054,6.094090228086905,0.6182240191072593,1.9050545603665887,6.867338140934709,215.3846153846154,1842.9881173201543,82.76942641217339,520000.0,117.8147986809794,50.67957261389452,89.06988251632308,6000.0,False,Budget,0,18.3,-16.0,False,6000.0,4500000.0,4500000.0,750.0,1.0,15.319588176962746,6.621405651764134,31.341163506986884,8.075015628680562,8.075015628680562,15.247635228937614,4999000.0,5515538.461538462,13,1729449.026683769,750.0,23505.872630240163,10.67,Under Construction,31.8,Virar-Alibaug Multimodal Corridor,6713146.8270356655,149.2,Underpriced,2213146.8270356655,49.2,11.3,75.9
16500000,750,1,2,Apartment,Semi-Furnished,19.11713028,72.89370728,Powai,4.813541160659647,1.4936978412059143,7.817036508498263,0.869514577031042,1.6055343068472672,4.262543432012341,162.5668449197861,21389.25344184284,88.61914156908242,2100000.0,145.1648503123206,67.91072893384991,98.18864358202242,22000.0,False,Premium,0,14.1,-16.0,False,22000.0,16500000.0,8250000.0,750.0,0.5,16.61887099947687,6.621405651764134,20.64574391882273,4.936441226325157,5.174732897223638,2.1790064017067365,30500000.0,38755714.28571428,105,25544863.73396446,1210.0,15484.307939117049,2.61,Under Construction,27.8,Mumbai Metro Line 4 (Wadala-Ghatkopar-Mulund-Thane),15769511.310339129,95.6,Fairly Priced,-730488.6896608714,-4.4,2.1,72.3
33200000,1104,3,2,Apartment,Semi-Furnished,19.1196804,72.89414978,Powai,4.651410795593224,1.5758573358419072,7.882194421378998,1.1280899828244302,1.6296780645814557,3.990896660246429,162.5668449197861,22491.27903346917,88.91921697541652,2100000.0,126.49361238892172,61.98818610579275,102.87896642967544,30072.463768115944,False,Luxury,0,12.2,14.8,False,30072.463768115944,11066666.666666666,16600000.0,368.0,1.5,17.3180604640072,7.007600613951853,20.930374253079766,4.974616397205625,5.4596992764936845,2.430727498848611,30500000.0,38755714.28571428,105,25544863.73396446,1210.0,23107.13317540006,2.73,Under Construction,27.8,Mumbai Metro Line 4 (Wadala-Ghatkopar-Mulund-Thane),32050846.421349548,96.5,Fairly Priced,-1149153.5786504522,-3.5,1.3,72.4
14400000,1625,3,3,Apartment,Semi-Furnished,19.0367775,73.09087372,Kalamboli,3.7780380106073497,0.4760835481960018,10.34844102998457,0.6168817060701915,2.061850184449104,5.0292447295980045,215.3846153846154,1731.399222102654,83.57940120164454,520000.0,103.51592970188464,57.21715583188319,90.23716443226408,8861.538461538461,False,Premium,0,25.2,13.5,False,8861.538461538461,4800000.0,4800000.0,541.6666666666666,1.0,16.48273883399067,7.3938782901077555,28.93548183528346,5.965626658676596,5.965626658676596,19.94243836228759,8400000.0,8083720.930232558,43,3059250.6266169585,1056.0,47020.15798233562,5.56,Under Construction,30.8,Navi Mumbai Metro Line 1 (Belapur-Pendhar),16145044.172074724,112.1,Below Market,1745044.172074724,12.1,10.2,72.8
11500000,1330,2,2,Apartment,Semi-Furnished,19.0371151,73.08891296,Kalamboli,3.600014892698785,0.6066469972404916,10.533131151917363,0.5174653412072253,1.9378519807402848,5.02437607011892,215.3846153846154,1774.500345858835,81.9598730679741,520000.0,124.43873810559414,61.243819652346005,87.4650435848277,8646.616541353384,False,Mid-Range,0,24.7,10.8,False,8646.616541353384,5750000.0,5750000.0,665.0,1.0,16.257857680289998,7.193685818395112,28.75835202634611,6.097713535002382,6.097713535002382,19.734005233209015,8400000.0,8083720.930232558,43,3059250.6266169585,1056.0,38248.608195040324,5.38,Under Construction,30.8,Navi Mumbai Metro Line 1 (Belapur-Pendhar),11300470.426682081,98.3,Fairly Priced,-199529.57331791893,-1.7,9.9,70.3
10800000,1139,2,2,Apartment,Semi-Furnished,19.0348835,73.0936203,Kalamboli,3.6178775267166574,0.2747648086738454,9.991479247186888,0.5835958352694527,2.1697070581219147,4.899127912864257,215.3846153846154,1993.949586726296,82.31760655562506,520000.0,131.9044119460433,53.71988861499796,101.52788805789112,9482.00175592625,False,Mid-Range,0,33.4,21.5,False,9482.00175592625,5400000.0,5400000.0,569.5,1.0,16.195056784687036,7.038783541388542,29.12670068142235,5.646329041622939,5.646329041622939,20.278506480920488,8400000.0,8083720.930232558,43,3059250.6266169585,1056.0,33175.31207614006,5.79,Under Construction,30.8,Navi Mumbai Metro Line 1 (Belapur-Pendhar),9381160.68573717,86.9,Above Market,-1418839.3142628297,-13.1,13.2,67.9
36000000,1050,3,3,Apartment,Semi-Furnished,19.14082718,72.81272888,Andheri,4.063504105852313,1.2353449972565684,3.094881510720621,1.1916868077206348,1.9880350805971936,3.5424106162770275,162.5668449197861,22867.879862926533,89.67200625931524,2100000.0,148.07361783701077,64.76566461497367,108.3638957874582,34285.71428571428,False,Luxury,0,14.3,37.1,False,34285.71428571428,12000000.0,12000000.0,350.0,1.0,17.399029524198163,6.957497370876951,22.48098118897277,4.2814038413776005,10.03440186290619,1.0827286093011244,22500000.0,30097510.591639873,311,25834974.450982578,945.0,23605.030248421408,5.55,Completed,29.6,Mumbai Metro Line 7 (Dahisar E-Andheri E),29697658.721973475,82.5,Overpriced,-6302341.278026525,-17.5,1.3,47.7
5500000,540,1,1,Apartment,Unfurnished,19.1553669,72.88744354,Goregaon,2.867495874536031,3.788147008738017,5.465312720347839,1.954403011933855,1.6028599443460323,0.0449701966494898,162.5668449197861,20669.301275638976,87.81406806663098,2100000.0,132.33897227416062,58.20213219488681,99.68121993214103,10185.185185185184,False,Budget,0,63.2,-50.1,False,10185.185185185184,5500000.0,5500000.0,540.0,1.0,15.520258832020865,6.293419278846481,24.583849775762364,5.82738234668284,9.241978296514409,5.589261613799719,15800000.0,19286897.29100529,189,17271593.94758082,800.0,13275.278878911677,1.63,Under Construction,32.8,Goregaon-Mulund Link Road (GMLR),5038493.239000956,91.6,Above Market,-461506.7609990444,-8.4,18.2,71.5
9500001,600,1,1,Apartment,Unfurnished,19.231287,72.85652161,Borivali,4.350224612109742,2.1454983781121824,7.804475467888538,1.1287850875282617,2.89298210191829,4.686532828452643,162.5668449197861,19010.003603907528,88.99147868444477,2100000.0,136.11330892903766,65.2043739139122,105.5124589334722,15833.335,False,Mid-Range,0,8.7,-25.8,False,15833.335,9500001.0,9500001.0,600.0,1.0,16.066802567097064,6.398594934535208,32.48706479472165,0.27717529409505304,13.489422537308291,11.773187576542899,16150000.0,22296926.05102041,196,17729875.81262337,855.0,19492.238876832987,5.48,Completed,29.6,Mumbai Metro Line 2A (Dahisar-DN Nagar),11384537.569063857,119.8,Underpriced,1884536.5690638572,19.8,2.3,54.7
3200000,412,1,1,Apartment,Semi-Furnished,19.22118759,73.09005737,Andheri,2.184612979599747,0.6766055266614374,6.901764431601896,0.6251794630218147,3.304461905328977,3.126678608563521,162.5668449197861,23071.0169646283,89.83287552400056,2100000.0,125.5463972473094,65.20981759476294,105.08093367903,7766.990291262135,False,Budget,0,22.8,-68.9,False,7766.9902912621355,3200000.0,3200000.0,412.0,1.0,14.978661680269907,6.023447592961033,41.165214959698936,12.6297457188632,5.387820834266572,24.262204952547116,22500000.0,30097510.591639873,311,25834974.450982578,945.0,16960.068563395962,19.95,Under Construction,31.8,Virar-Alibaug Multimodal Corridor,5132850.499691073,160.4,Underpriced,1932850.4996910729,60.4,10.5,71.3
